"Vx";"Vy";"X";"Y";"Traj";"Time";"TrueMovMode";"TrueTrajClust";"firstEstMovMode";"firstSegment";"finalEstMovMode";"finalSegment"
0;0;0;0;"T7";0;1;2;1;"S-1-NA";2;"S-1"
-0.75271661428345;1.21973670769191;0;0;"T7";0.0262479297816753;1;2;1;"S-1-NA";2;"S-1"
-1.17926384872615;1.53787669340932;-0.00642731121657429;0.0104151114428085;"T7";0.0347867491655052;1;2;7;"S-2-NA";3;"S-2"
-18.0946612766533;7.45109194360881;-0.667056237884248;0.871940571085857;"T7";0.594991259276867;1;2;4;"S-3-NA";2;"S-3"
-18.3365529138713;7.39294177365585;-0.922032389625555;0.97693566997192;"T7";0.6090824957937;1;2;4;"S-3-NA";2;"S-3"
-18.923845279063;7.36215702832989;-1.43889785715802;1.18532578147376;"T7";0.637270207516849;1;2;4;"S-3-NA";2;"S-3"
-22.1959388697742;4.7985479516746;-10.2750533043545;4.62295502487952;"T7";1.10420255223289;1;2;4;"S-3-NA";2;"S-3"
-22.3520185497582;3.70990991665072;-13.3987883096286;5.29827641133119;"T7";1.2449370813556;1;2;4;"S-3-NA";2;"S-3"
-22.470067864478;3.57433569482555;-15.5080123982189;5.64835805363478;"T7";1.33930100128055;1;2;4;"S-3-NA";2;"S-3"
-22.1917343193215;3.24663131128227;-17.1567372768491;5.91062233428482;"T7";1.41267527360469;1;2;2;"S-4";2;"S-3"
-21.827414724131;2.4154064116597;-22.5239175511373;6.69583611167891;"T7";1.65453020017594;1;2;2;"S-4";2;"S-3"
-22.1426188670754;2.1691109955788;-23.8217090276961;6.83944880668176;"T7";1.71398714883253;1;2;2;"S-4";2;"S-3"
-22.2504887905437;1.77912119437401;-30.3224104844873;7.47626340813199;"T7";2.00757037382573;1;2;2;"S-4";2;"S-3"
-22.2068731090674;1.85623296072325;-30.4544752643227;7.48682314239434;"T7";2.01350573915988;1;2;2;"S-4";2;"S-3"
-21.6611271708939;1.54450198604443;-36.2075526057812;7.96771262802143;"T7";2.2725731600076;1;2;2;"S-4";2;"S-3"
-21.6274287679175;1.55349232667613;-36.2930269549026;7.97380720015206;"T7";2.27651913883165;1;2;2;"S-4";2;"S-3"
-20.9512521774031;2.39386514612081;-39.4563638733007;8.20102883071004;"T7";2.42278418736532;1;2;2;"S-4";2;"S-3"
-20.6819949976223;2.85602579723713;-43.3786640009754;8.6491861765699;"T7";2.60999496094882;1;2;2;"S-4";2;"S-3"
-20.9284958165801;2.736403065378;-49.6520130145892;9.51548783750798;"T7";2.9133191332221;1;2;2;"S-4";2;"S-3"
-20.8502881589865;3.12635669683619;-52.3039998590837;9.8622354009362;"T7";3.04003568599001;1;2;2;"S-4";2;"S-3"
-21.3009921377443;2.81561417166428;-60.2632778579945;11.0556741622682;"T7";3.42177036218345;1;2;2;"S-4";2;"S-3"
-21.0662605103196;2.81527154382504;-62.075169916121;11.2951742251478;"T7";3.50683175493032;1;2;2;"S-4";2;"S-3"
-20.9831379690684;2.5258837945038;-65.4328189745462;11.7438866980475;"T7";3.66621690336615;1;2;2;"S-4";2;"S-3"
-21.1098989618047;2.63239550055234;-65.8768558450397;11.7973384523559;"T7";3.68737850803882;1;2;2;"S-4";2;"S-3"
-21.2810655065746;3.35419325635823;-73.2461801030929;12.7162900804101;"T7";4.03647180646658;1;2;2;"S-4";2;"S-3"
-21.1993157223548;3.45081624015068;-73.3549784589303;12.7334382213873;"T7";4.0415842551738;1;2;2;"S-4";2;"S-3"
-21.411992462852;3.10393920970657;-76.5959930243993;13.2610092922447;"T7";4.19446723535657;1;2;2;"S-4";2;"S-3"
-21.3671921770712;2.83365777477244;-78.3062085562486;13.5089266710484;"T7";4.2743390891701;1;2;2;"S-4";2;"S-3"
-21.5931735543086;2.70388085007842;-78.9232370708756;13.590755281623;"T7";4.30321646854281;1;2;2;"S-4";2;"S-3"
-21.4168220050428;2.34163719282376;-81.802137308552;13.9512489905427;"T7";4.43654102273285;1;2;2;"S-4";2;"S-3"
-21.3703355672208;2.56999868920378;-84.4193290378005;14.2374031871138;"T7";4.55874364124611;1;2;2;"S-4";2;"S-3"
-21.4330602392237;2.6976666692638;-85.995021404204;14.4268961084349;"T7";4.6324763330631;1;2;2;"S-4";2;"S-3"
-21.7229762459179;2.38440328257469;-89.3708316949286;14.8517916110556;"T7";4.78998115286231;1;2;2;"S-4";2;"S-3"
-20.9627220828278;2.43995441558768;-100.403540163776;16.0627871022353;"T7";5.29786314582452;1;2;2;"S-4";2;"S-3"
-21.286115977519;2.36485301129214;-103.972712859667;16.4782206821361;"T7";5.46812599059194;1;2;2;"S-4";2;"S-3"
-21.346328992485;2.17069789033392;-106.873347631811;16.8004765076144;"T7";5.60439485125244;1;2;2;"S-4";2;"S-3"
-21.3749500575617;2.27239509384712;-112.217725827384;17.3439437463307;"T7";5.85476006381214;1;2;2;"S-4";2;"S-3"
-21.7434205895533;2.05434695953483;-114.295573421071;17.5648420719381;"T7";5.95196953509003;1;2;2;"S-4";2;"S-3"
-21.5317733065645;2.4996117063896;-118.141317207072;17.9281930001595;"T7";6.12883884459734;1;2;2;"S-4";2;"S-3"
-21.476870866639;2.6415894006339;-122.537258217058;18.4385153713229;"T7";6.33299950277433;1;2;2;"S-4";2;"S-3"
-21.4529306425699;2.4918922043709;-124.935741912314;18.7335215268436;"T7";6.44467702368274;1;2;2;"S-4";2;"S-3"
-20.9702601740336;2.47830073327498;-125.928328370717;18.8488166582673;"T7";6.49094512918964;1;2;2;"S-4";2;"S-3"
-21.0930331166648;2.40736469436255;-127.453378108042;19.0290496096435;"T7";6.56366953626275;1;2;2;"S-4";2;"S-3"
-21.3060172756778;2.14674208729943;-129.714371049437;19.2870985375152;"T7";6.67086099274457;1;2;2;"S-4";2;"S-3"
-20.979174336981;2.64494836357384;-132.99937789713;19.6180877771165;"T7";6.82504310971126;1;2;2;"S-4";2;"S-3"
-20.7365587963843;2.98685586366244;-139.58862624944;20.4488269361835;"T7";7.13912831852213;1;2;2;"S-4";2;"S-3"
-20.7335584238893;2.9886004571692;-140.381135763262;20.5629785517727;"T7";7.17734630452469;1;2;2;"S-4";2;"S-3"
-21.0146909975696;2.82325504949761;-144.511817513442;21.1583880379122;"T7";7.37657316494733;1;2;2;"S-4";2;"S-3"
-21.2717255876849;2.47613210751003;-150.512899835128;21.9646138334334;"T7";7.66213921597227;1;2;2;"S-4";2;"S-3"
-21.1282828497989;2.53678407389915;-150.749021253953;21.9920995126752;"T7";7.6732394634746;1;2;2;"S-4";2;"S-3"
-21.2951910555582;2.46241884073775;-153.961341383589;22.3777892823105;"T7";7.82527832780033;1;2;2;"S-4";2;"S-3"
